"","R_LH","R_LH0","R_ROD","R_ON","R_FH","R_ONFH","R_M","R_SLH"
"21",0.563855843247026,0.631735479356193,0.223757872638209,0.910951714485654,0.0764520643806858,0.464485654303709,0.216759972008397,0.194716585024493
"22",0.515220433869839,0.562806158152554,0.850769769069279,0.0754023792862141,0.241252624212736,0.0698040587823653,0.940342897130861,0.992127361791463
"23",0.173722883135059,0.514520643806858,0.97813156053184,0.884009797060882,0.962736179146256,0.968684394681596,0.906403079076277,0.877011896431071
"24",0.091147655703289,0.173372988103569,0.188068579426172,0.144681595521344,0.697865640307908,0.365115465360392,0.0984954513645906,0.896606018194542
"25",0.169524142757173,0.0907977606717985,0.469034289713086,0.682470258922323,0.978831350594822,0.964835549335199,0.0176696990902729,0.916550034989503
"26",0.960636808957313,0.169174247725682,0.691917424772568,0.78149055283415,0.248950314905528,0.506473058082575,0.76259622113366,0.553358992302309
"27",0.287088873337999,0.960636808957313,0.0726032190342897,0.28813855843247,0.260846745976207,0.198565430370889,0.120888733379986,0.0855493351994402
"28",0.71186144156753,0.287088873337999,0.14853044086774,0.0897480755773268,0.291637508747376,0.0963960811756473,0.586249125262421,0.0834499650104969
"29",0.920398880335899,0.711161651504549,0.634184744576627,0.90850244926522,0.734254723582925,0.907802659202239,0.247550734779566,0.124737578726382
"30",0.749300209937019,0.920398880335899,0.777641707487754,0.451539538138558,0.889608117564731,0.815780265920224,0.565955213435969,0.677921623512946
"31",0.64223233030091,0.748600419874038,0.601994401679496,0.907802659202239,0.0638558432470259,0.409202239328202,0.757347795661302,0.353918824352694
"32",0.147830650804759,0.641532540237929,0.3388733379986,0.368964310706788,0.553009097270819,0.46518544436669,0.26924422673198,0.710811756473058
"33",0.0432120363890833,0.147480755773268,0.113540937718684,0.264695591322603,0.494576627011896,0.333275017494752,0.0932470258922323,0.276941917424773
"34",0.102694191742477,0.0435619314205738,0.336074177746676,0.80073477956613,0.140132960111966,0.386109167249825,0.647830650804759,0.0505598320503849
"35",0.725857242827152,0.102344296710987,0.628936319104269,0.479881035689293,0.328726382085374,0.368264520643807,0.722008397480756,0.828026592022393
