,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
1481,1.170441749,1.464687258,0.231879159,-0.121970027,-0.137802309,-0.120212843,0.230983313,0.688793264,1,1,1,0,0,0,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
1482,-0.895418014,1.170441749,0.865855806,0.472744789,-1.14319521,-0.322541571,1.493327706,-0.492342298,0,1,1,0,1,0,1,1,0,1,0,3,2,3,2,2,3,2,1,0,2
1483,0.197071294,-0.89672106,1.645528739,0.556396029,1.240789914,1.113523534,1.578396278,-0.045805151,2,2,2,2,3,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
1484,-0.196182096,0.196182096,-0.143087225,-0.646287395,-0.005669162,-0.550297238,0.404556202,-0.276925697,1,1,1,0,1,1,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
1485,0.273302443,-0.197960648,-0.28055259,-0.589282864,0.053664452,-0.46204353,-0.257041374,0.817383825,3,2,3,3,2,3,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
1486,-0.929808153,0.272397192,-1.537311204,-0.860791625,-0.349303439,-0.900639365,-1.488029117,-0.858267798,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1487,0.438875754,-0.931152798,1.225862236,1.133193708,-0.216674434,0.872217434,0.755589062,1.200376784,2,3,2,2,2,2,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0
1488,-0.034457693,0.437915609,-1.615863313,-1.506760899,-0.723487137,-1.596849609,-1.200376784,0.537152696,1,1,1,1,0,1,3,3,3,2,3,3,3,2,3,3,2,3,2,3,1
1489,1.06613975,-0.036203131,-1.422654058,0.51511621,-1.956108864,-1.000683558,-1.403715387,0.303306585,2,3,3,3,2,3,1,1,1,0,1,3,3,2,3,3,2,3,2,3,1
1490,-0.34837655,1.064601353,1.315805337,0.355800122,0.689899356,0.696553739,1.175648015,0.975109564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491,-0.924446294,-0.349303439,1.200376784,0.625999545,0.634509933,0.882470147,0.979327408,0.145731173,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,-0.466901107,-0.925784263,1.012262279,1.032858449,0.759074599,1.220334214,-0.106168262,0.824714406,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
1493,-0.678876017,-0.467873942,0.043186037,-0.633443631,0.807677482,-0.049297795,0.47860466,-1.044826873,3,2,3,2,3,2,2,3,2,3,2,1,0,1,0,2,3,2,1,0,2
1494,0.368838993,-0.679974624,0.423561177,0.483500463,0.802852753,0.841994143,-0.13076171,-0.753270463,2,2,2,3,3,2,0,0,1,1,0,0,1,1,0,1,1,0,3,2,2
1495,-1.195016141,0.367905589,-0.165152516,-0.610163277,0.095648704,-0.466901107,-0.151022146,0.952901021,1,0,1,1,0,1,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
1496,-0.608063375,-1.195016141,1.035836647,0.530113264,0.800447387,0.886338899,0.944693086,-0.895418014,2,2,2,2,3,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
