R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH
-1.72874215,2.316538596,0.745187028,-1.683874193,0.285091408,-1.464687258,1.756611834,1.612653706
0.556396029,-1.72874215,-1.691118376,-1.179136638,-0.948789063,-1.389835011,-1.401383202,-0.557414503
0.546242733,0.555378132,1.543022443,1.884488298,-1.010807528,1.406055232,1.165267017,-0.437915609
-1.365061185,0.545230511,-1.849606982,-1.717198351,-0.300568033,-1.645528739,-1.859343765,1.709627781
-2.342849689,-1.367278825,0.008285748,-1.396741561,0.231879159,-1.225862236,0.752112681,1.642160649
-0.476649553,-2.342849689,-1.26371417,0.941971217,1.498668555,1.488029117,-1.950234081,-1.968065143
1.330455837,-0.477626878,-0.522100215,1.056946864,-0.374446204,0.739442843,-0.921775308,-1.111903739
-0.925784263,1.330455837,-1.807828069,-3.131402477,2.839155384,-2.839155384,1.698452408,-0.192626847
1.301431939,-0.927123891,-0.948789063,-3.031225863,2.214536021,-2.597351545,-1.069224138,2.954523403
1.962051944,1.301431939,1.299400438,0.857007932,2.329492585,2.046473449,-0.80164949,0.878614559
-2.018940645,1.962051944,-1.259847375,2.416799944,-2.139946614,1.351894129,-2.450499108,1.632166584
2.185125987,-2.018940645,-0.214888999,0.062400919,-0.89672106,-0.495298116,0.872217434,-1.669645303
-0.600734703,2.185125987,0.220247382,0.807677482,-1.648915599,-0.521100947,0.419748145,1.170441749
-2.329492585,-0.601779673,1.180886343,-0.962558837,1.277399113,-0.094772568,1.910884036,-1.324142236
-1.482771978,-2.329492585,1.691118376,-1.807828069,1.120032132,-1.358448218,2.48723471,1.313735346
-0.485462026,-1.482771978,1.107061769,1.417871607,0.02922199,1.281353328,0.395108657,-0.175771822
-1.429889339,-0.486443509,-1.080100509,-0.256140011,-0.37538188,-0.40266383,-1.277399113,0.862055597
-0.863320948,-1.432317811,-2.018940645,-2.214536021,2.060842969,-1.459607228,-1.709627781,-1.283337971
-2.046473449,-0.864587682,-1.129884955,1.058472801,-0.898025629,0.430248873,-1.413121367,-1.224015405
1.187921596,-2.046473449,0.326218728,-1.744501517,-0.857007932,-1.798959723,1.944425845,1.27346477
1.717198351,1.187921596,0.628122871,0.226506843,1.680284996,1.196799202,-0.962558837,1.732641772
-1.160123302,1.717198351,1.246459673,0.78018526,-0.715578078,0.288726691,1.191461372,1.49067318
0.471769726,-1.160123302,-0.839510285,1.046333469,-0.117577761,0.844483207,-0.406450025,-2.527669001
-0.160733365,0.470795111,1.869260082,1.83532264,0.102660495,1.768985396,1.20757842,0.548268859
-1.317880981,-0.162500644,-1.354072366,0.05715851,-1.196799202,-0.682174305,-1.687485215,1.341097937
1.501355087,-1.319962319,-0.912478183,-0.966725491,-0.965334744,-1.246459673,-0.369772719,0.898025629
1.091106176,1.501355087,-1.128235208,1.816840919,-0.952901021,1.356257045,-1.992858298,-0.882470147
1.076979971,1.089525855,0.980737232,-0.976513581,0.944693086,-0.369772719,1.849606982,-1.578396278
-0.168690156,1.075423628,-1.126588526,1.439654383,-0.251636299,1.175648015,-1.764830804,-1.469805369
2.623674871,-0.170459766,-1.166988456,0.783737499,-1.214843235,-0.094772568,-1.44955867,-0.071142152
0.21756741,2.623674871,0.491357981,-0.355800122,-1.128235208,-0.890220962,0.891517967,1.713400791
0.796847993,0.216674434,0.222928937,-1.15671114,-0.046678258,-1.029889384,2.018940645,-2.204519618
-1.013719176,0.795650488,0.632378048,-1.283337971,0.989237463,-0.76373638,1.187921596,1.172173642
-1.021036175,-1.013719176,-0.24444092,-0.810096907,0.872217434,-0.220247382,0.834558037,-1.916326178
-1.252169787,-1.021036175,-1.785916772,-1.666140388,0.315200266,-1.44955867,-1.581434582,-0.474696266
1.702153945,-1.252169787,-1.18263967,-0.344671976,-1.332572198,-1.006456052,-1.347556796,1.803376167
1.659191329,1.702153945,-0.030094547,-1.205772146,0.250736171,-0.963945862,-0.574818495,2.279850406
1.186157276,1.659191329,0.205081182,0.326218728,0.887631433,0.782552322,-0.202409783,-1.075423628
-2.175729346,1.186157276,-1.242675396,-0.357659067,-0.046678258,-0.277832077,-1.557525128,0.284183177
0.364175167,-2.175729346,-0.474696266,-1.158415535,2.256995584,0.848226646,-1.485395416,1.543022443
-1.560465295,0.363243355,-1.396741561,-0.456228783,-0.189962009,-0.472744789,-1.854453397,1.319962319
2.01229088,-1.560465295,2.329492585,2.032514469,0.544218847,2.053605206,1.408402801,1.691118376
-1.864279009,2.01229088,0.258844729,0.742886413,-1.092689227,-0.01351911,1.032858449,-1.65232148
-1.477555503,-1.864279009,1.218499805,-1.713400791,-0.936548306,-1.785916772,2.450499108,1.015178228
-1.62887118,-1.477555503,-1.307558901,1.205772146,-3.031225863,-1.968065143,-1.195016141,2.450499108
-1.854453397,-1.62887118,-1.160123302,-2.433304181,1.638811086,-1.974150359,0.126364648,1.752546458
2.032514469,-1.854453397,2.450499108,2.245996299,0.387575971,2.214536021,1.869260082,0.574818495
-2.204519618,2.032514469,-1.343244667,0.825940479,-1.267599952,-0.094772568,-1.39212982,-1.545897037
1.512211104,-2.204519618,1.45456459,0.381002877,-0.046678258,0.337276939,1.687485215,0.259746721
0.892816474,1.512211104,2.400928886,0.830857244,1.826003817,1.62887118,2.185125987,0.551312277
-1.498668555,0.891517967,0.977919527,0.310620587,-1.293337882,-0.587209033,1.612653706,0.40266383
0.330821392,-1.498668555,-0.644139407,-0.724620694,-1.155010099,-1.187921596,0.992086801,-1.557525128
-1.944425845,0.329900301,-1.305511133,-1.050867573,-0.250736171,-1.022506145,-0.987815802,-0.984978452
-0.614371179,-1.944425845,-0.592398373,1.216669487,1.356257045,1.584487555,-1.572363007,-1.349722289
0.597603716,-0.615424853,0.518106259,0.57997039,1.615863313,1.360645932,-0.742886413,-0.345597674
1.14319521,0.595519643,2.549544951,2.018940645,1.044826873,2.194719625,2.01229088,1.238908832
0.959790327,1.14319521,-0.598646726,0.392281295,-1.22217274,-0.484481011,-0.585137724,0.538160498
-1.067680674,0.958408827,0.447535423,-0.940612896,0.50518236,-0.57997039,1.396741561,-1.166988456
0.211320177,-1.067680674,0.558433555,0.692114076,0.356729441,0.802852753,0.787299655,-1.721020839
-0.833323172,0.210428394,-0.210428394,1.086373347,0.297831733,1.05238375,-1.14823911,0.39699532
-0.034457693,-0.834558037,-0.962558837,-1.336822921,0.235464415,-1.141520359,-0.194404164,-0.572762009
0.585137724,-0.036203131,-1.203969797,0.255238856,-1.889662878,-1.11677192,-1.209388643,1.584487555
-1.134852746,0.583068923,1.534474291,0.056284932,0.306047414,0.275113618,1.986544831,-0.76373638
-0.604918539,-1.134852746,-1.962051944,-1.768985396,-0.116699583,-1.642160649,-1.748509842,0.098277556
-0.068519242,-0.605966151,-0.750955906,-0.480561598,-1.070770153,-0.939256309,0.01003017,-0.665755874
-0.034457693,-0.070267795,0.201519638,0.855749425,-0.759074599,0.317033985,-0.775464196,1.821403253
-0.766073503,-0.036203131,2.175729346,1.777387395,-0.067645044,1.645528739,1.773170749,1.301431939
-0.407397483,-0.767243635,-0.272397192,0.166036731,-0.867125323,-0.405502932,-0.687688014,1.72874215
0.652749346,-0.408345307,2.235262214,2.752450937,-1.299400438,2.385640499,1.526036816,-1.343244667
0.196182096,0.651670466,0.696553739,-0.551312277,0.684377291,-0.025731974,0.647362507,1.216669487
