R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH
1.174256765,-2.514548439,0.284222456,-1.22369099,1.785364395,0.366548042,-1.060900544,2.241551272
-1.850746197,1.170424787,-1.017895937,-0.694896225,0.596349236,-0.094585122,-1.669777086,1.628486541
2.207241478,-1.850746197,2.291843973,2.278722216,-1.443822443,2.026868196,1.709955375,1.443822443
-1.895285453,2.207241478,-0.154810902,-0.529715626,-1.263362166,-1.176179235,1.263362166,-1.08315654
-1.913002055,-1.895285453,1.449309901,-1.72256444,-0.77964189,-1.701698001,2.514548439,1.907029833
0.51645547,-1.913002055,-0.741039085,1.569662472,-2.380246976,-1.091860842,-0.89458093,2.108514109
-1.739814588,0.514254309,0.377909419,-2.305372627,1.963429325,-1.673674741,1.46603979,2.22982108
1.799779736,-1.739814588,2.057895625,1.799779736,0.581448674,1.850746197,1.753100399,-0.764064323
-1.990639185,1.799779736,-1.024388795,-0.10136361,-0.607901816,-0.466430557,-1.388658686,1.403986221
1.829786872,-1.990639185,1.174256765,1.024388795,-0.36345774,0.565544903,1.337424234,-0.36757892
0.890275535,1.829786872,2.155255212,0.683896137,0.609061523,0.853629577,2.241551272,1.176179235
-2.16519267,0.887414416,1.285064619,0.183161527,-1.489005323,-0.993920778,2.135996016,0.669356687
0.020239442,-2.16519267,1.67759799,-0.221526103,1.497823314,0.906143943,1.901124866,-0.800711417
-1.368716076,0.018311649,-1.669777086,-0.400781073,-0.023131274,-0.313447381,-1.84543002,-1.553355066
-0.051099237,-1.368716076,1.211555886,1.27631145,1.460417678,1.744209043,0.356260456,-1.316504963
0.250263348,-0.053029286,0.153835641,0.112994896,1.804669024,1.35410885,-1.136682839,-0.437610596
1.95684883,0.248275093,1.771310785,1.809601837,-0.39035959,1.521925768,1.180037274,1.480301617
0.524179372,1.95684883,-1.122094232,-0.925196865,-0.48477572,-1.019515122,-1.133013067,1.463222953
-1.305127933,0.52196937,1.762132549,-0.597500894,1.895285453,1.081425505,2.049952269,-1.417015904
1.471708627,-1.305127933,0.302331881,0.417546999,0.229434358,0.451440036,0.634787389,-1.714128164
-1.105962407,1.471708627,1.349303433,1.84543002,0.404961821,1.829786872,-0.346010437,0.914896326
-0.75762821,-1.105962407,-1.233943001,-1.693555051,1.026018768,-1.034209867,-0.834364961,-0.834364961
0.497823817,-0.758912916,-0.819443121,0.37377244,-1.446560727,-0.827559468,-0.777032558,1.172338624
-0.504379647,0.4956433,1.325730824,-0.502191975,1.005037293,0.369641848,1.714128164,-0.75762821
-0.725905079,-0.506569736,-2.218389912,-1.515817318,-0.202798437,-1.376130488,-2.278722216,-0.016383924
1.062593873,-0.727159868,0.012528651,-0.645432922,-1.669777086,-1.471708627,1.635788351,-0.635966657
-0.19788217,1.059210252,0.280210974,1.28067577,-1.24432637,0.191988945,-0.497823817,1.685522874
-0.392440461,-0.199848096,1.88950996,1.990639185,-0.796733995,1.572974507,1.566367567,0.783565874
-0.047239704,-0.394523034,0.407054848,0.340899095,1.008236326,0.917829397,-0.808704531,1.309658411
1.427615577,-0.049169379,1.925155405,2.155255212,-0.03952269,2.117497956,1.316504963,-1.363814635
1.381115769,1.427615577,1.95684883,0.861983396,1.72256444,1.669777086,1.254845658,2.00481621
-0.835730699,1.378618845,-2.185734115,-0.794089369,-1.819601686,-1.603590682,-2.082538076,0.164571779
0.308390162,-0.837097998,0.919298898,2.034442913,-0.177284544,1.834951475,-0.884560544,0.163595
-1.017895937,0.306369488,2.065970991,1.665904633,-2.145526142,-0.386202901,2.719607344,-0.744849119
-0.35420749,-1.017895937,0.389319788,1.236009024,-2.207241478,-1.105962407,1.267654992,1.168515228
-0.413344686,-0.356260456,0.995501319,-0.136305012,0.972048284,0.57688989,1.302872705,-1.209550649
0.334777206,-0.415444926,0.970503737,-1.029286921,1.693555051,0.443982856,1.344528975,-1.102416454
0.565544903,0.332739372,-0.617202579,0.823494514,1.411775252,1.457623849,-1.556583531,-1.693555051
1.302872705,0.563284661,1.658233822,0.579167777,1.621270537,1.441094942,1.172338624,0.937090449
1.289478363,1.300624085,0.07330811,-0.057855288,-0.391399814,-0.301323251,-0.300314928,1.714128164
1.153389667,1.287268356,1.009839718,0.634787389,1.342153197,1.300624085,0.333758116,-0.50109904
0.607901816,1.149649284,0.631254863,-0.067511448,-1.296146467,-0.975144358,1.685522874,-0.582590257
2.019408018,0.60558485,-1.72256444,-0.588309619,-0.289243256,-0.638327853,-1.589799325,-2.135996016
1.122094232,2.019408018,0.594048289,0.712176886,0.381016399,0.744849119,0.454643647,-1.05415744
0.068477396,1.118484211,-0.75762821,-1.398840485,0.502191975,-0.911971104,-0.676608533,1.378618845
0.397650107,0.066545564,1.452070073,1.207550264,-0.713419334,0.544186768,1.931340288,-1.411775252
-0.377909419,0.395564961,0.737239778,0.368610188,0.652570724,0.697352103,0.705981048,-0.944591714
-1.731125124,-0.379980331,-0.978249807,0.841209319,0.014456261,0.611383399,-1.454841352,-1.396281449
1.491931774,-1.731125124,0.850858185,0.42808532,-0.671770041,-0.135332365,1.127536846,1.149649284
-0.611383399,1.491931774,-0.735975706,0.256234088,-0.596349236,-0.202798437,-0.99076712,0.54642317
-0.669356687,-0.613708576,-1.316504963,-0.050134285,-1.27631145,-0.950631212,-0.75122333,-1.709955375
0.459993406,-0.671770041,0.738505029,-1.356523328,0.901793686,-0.594048289,0.998669887,1.943936457
-0.812720516,0.457851931,-1.970095958,-0.41229525,1.274138379,0.641876337,-2.514548439,-1.518864459
2.348703372,-0.814062092,-1.373650623,0.69858162,-0.552026188,0.152860526,-1.566367567,-1.878144505
0.533045178,2.348703372,1.323413789,1.931340288,-0.060751529,1.739814588,0.512055636,-1.144068679
1.35410885,0.530824823,1.441094942,1.06939787,0.710935537,1.229826681,0.901793686,1.09888431
1.368716076,1.35170224,-0.1401969,0.703510295,-1.236009024,-0.381016399,-0.168480471,1.029286921
-0.202798437,1.366261253,-0.183161527,-0.317498929,-0.599806591,-0.630079105,0.621873008,-0.903241872
0.056889983,-0.20476631,0.657347775,0.578028459,0.574614991,0.790132808,0.580307848,-1.193680822
1.417015904,0.054959532,-1.215581041,-0.158713431,-0.286229909,-0.316485556,-1.534315959,0.220538554
0.067511448,1.417015904,-0.41229525,0.45250739,-0.127555718,0.236365856,-1.274138379,1.809601837
1.43837812,0.065579742,-0.567808038,-1.091860842,-0.360370906,-1.107740609,0.125612779,0.923719361
0.37377244,1.43837812,1.330386369,0.791450285,0.845334909,1.091860842,0.800711417,1.242238972
-1.52809154,0.371706351,-0.998669887,-1.10952232,1.403986221,0.112994896,-1.600114247,0.978249807
2.471457276,-1.52809154,-1.990639185,-0.880293192,-2.042136191,-1.829786872,-1.603590682,0.15091073
